Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
FAX,Aberdeen Asia-Pacific Income Fund Inc,7.52,1962539520,n/a,1986,n/a,n/a,http://www.nasdaq.com/symbol/fax
IAF,Aberdeen Australia Equity Fund Inc,10.17,229577580,n/a,1985,n/a,n/a,http://www.nasdaq.com/symbol/iaf
CH,"Aberdeen Chile Fund, Inc.",16.25,150816250,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ch
ETF,Aberdeen Emerging Markets Telecommunications and Infrastructur,19.05,157105350,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/etf
FCO,"Aberdeen Global Income Fund, Inc.",13.88,124795080,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/fco
IF,"Aberdeen Indonesia Fund, Inc.",13.37,110596640,n/a,1990,n/a,n/a,http://www.nasdaq.com/symbol/if
ISL,"Aberdeen Israel Fund, Inc.",12.9848,55484050.4,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/isl
AXK,Accelr8 Technology Corporation,3.8,40876600,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axk
ACU,Acme United Corporation.,10.85,34069000,n/a,1988,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu
AQ            ,Acquity Group Limited,6.01,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aq            
AE,"Adams Resources & Energy, Inc.",44.25,186646500,n/a,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae
ADK,Adcare Health Systems Inc,3.93,47953860,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adk
API,"Advanced Photonix, Inc.",0.72,22297680,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/api
ANX,"ADVENTRX Pharmaceuticals, Inc.",0.54,25766640,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anx
ACY,AeroCentury Corp.,13.73,21185390,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy
AIM,Aerosonic Corporation,3.65,13778750,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aim
AA^,Alcoa Inc.,85.3685,56343210,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aa^
AXX,Alderon Iron Ore Corp.,2.75,232974500,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/axx
AXU,Alexco Resource Corp,5.38,322466440,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axu
ANV,Allied Nevada Gold Corp,26.29,2363339550,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/anv
