Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
FLWS,"1-800 FLOWERS.COM, Inc.",3.02,85185140,n/a,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
FCTY,"1st Century Bancshares, Inc",4.6701,42231714.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty
FCCY,1st Constitution Bancorp (NJ),8.6,43395600,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,21.76,529181440,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
FUBC,"1st United Bancorp, Inc. (FL)",5.8,197008600,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fubc
TCHC,21st Century Holding Company,4.68,37187280,n/a,1998,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/tchc
VNET,"21Vianet Group, Inc.",12.46,375868360,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vnet
SSRX,3SBio Inc.,12.95,285780600,n/a,2007,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ssrx
JOBS,"51job, Inc.",49.4,1421732000,n/a,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
EGHT,8x8 Inc,4.13,287183680,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
AVHI,"A V Homes, Inc.",13.89,180222750,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
SHLM,"A. Schulman, Inc.",22.77,669551850,n/a,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
AONE,"A123 Systems, Inc.",1.03,138373290,n/a,2009,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aone
AAON,"AAON, Inc.",19.17,472367970,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
ASTM,"Aastrom Biosciences, Inc.",2.52,97360200,n/a,1997,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/astm
ABAX,"ABAXIS, Inc.",34.84,755679600,n/a,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABMD,"ABIOMED, Inc.",23.19,904270860,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,2.83,260965620,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
ACTG,Acacia Research Corporation,38.27,1899148750,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",15.42,495228720,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,1.52,80257520,n/a,1985,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
ACCL,"Accelrys, Inc.",7.92,439330320,n/a,1995,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/accl
ANCX,Access National Corporation,12.72,129705840,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx
ARAY,Accuray Incorporated,6.44,457587760,n/a,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",3.52,68879360,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acrx
ACET,Aceto Corporation,8.45,226493800,n/a,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/acet
ACHN,"Achillion Pharmaceuticals, Inc.",7.2,502156800,n/a,2006,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
ACIW,"ACI Worldwide, Inc.",40.41,1583102160,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
APKT,"Acme Packet, Inc.",24.41,1659733540,n/a,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/apkt
ACNB,ACNB Corporation,14.88,88402080,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",23.92,949647920,n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
ACFN,"Acorn Energy, Inc.",11.42,200044140,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acfn
ACTS,"Actions Semiconductor Co., Ltd.",1.68,115916640,n/a,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/acts
ACPW,"Active Power, Inc.",0.9201,87802382.7,n/a,2000,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/acpw
