Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
DDD,3D Systems Corporation,27.45,1403134200,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ddd
MMM,3M Company,86.73,60179518560,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
SVN,7 Days Group Holdings Limited,10.77,199794270,n/a,2009,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/svn
AHC,A.H. Belo Corporation,4.27,83013070,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc
AIR,AAR Corp.,14.5,584176000,n/a,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",26.99,2052454550,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
ABB,ABB Ltd,16.84,3159520800,n/a,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,62.04,97613177640,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
ANF,Abercrombie & Fitch Company,46.62,3949832880,n/a,1996,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf
ABH,AbitibiBowater Inc.,11.35,1102096350,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abh
ABM,ABM Industries Incorporated,22.57,1212708670,n/a,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm
ABVT,Abovenet Inc,83.29,2187778430,n/a,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/abvt
AKR,Acadia Realty Trust,23.37,999394680,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/akr
ACN,Accenture plc.,58.61,37771273110,n/a,1986,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/acn
ACCO,Acco Brands Corporation,10.44,579733200,n/a,1987,Consumer Durables,Publishing,http://www.nasdaq.com/symbol/acco
AH,"Accretive Health, Inc.",10.86,1078300260,n/a,2010,n/a,n/a,http://www.nasdaq.com/symbol/ah
ACW,Accuride Corporation New,6.03,285375780,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/acw
